589	12.59	4679	1690	1.02	1099	0	0	23	17	124	0.00	0.15	0.19	87.05	0.30	0.00	73.85	91	11809	91	100.63	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.96	12.95	0.00	0.00	0.00	0.00	3600
589	12.61	4673	1690	1.02	1128	0	0	46	12	147	0.00	0.24	0.13	87.00	0.49	0.00	73.62	91	11809	91	100.79	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.04	13.01	0.00	0.00	0.00	0.00	3600
589	12.61	4672	1690	1.02	1138	0	0	43	28	136	0.00	0.24	0.33	86.80	0.45	0.00	73.64	92	11809	92	100.82	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.10	13.08	0.00	0.00	0.00	0.00	3600
589	12.61	4673	1690	1.02	1139	0	0	38	32	145	0.00	0.22	0.37	86.78	0.30	0.00	73.77	91	11809	92	100.87	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.17	13.14	0.00	0.00	0.00	0.00	3600
589	12.59	4677	1690	1.02	1098	0	0	34	13	110	0.00	0.19	0.14	87.06	0.37	0.00	73.78	91	11809	92	100.62	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.19	13.15	0.00	0.00	0.00	0.00	3600
588	12.61	4667	1690	1.02	1137	0	0	48	41	121	0.00	0.34	0.50	86.54	0.65	0.00	73.46	91	11809	91	100.77	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.17	13.13	0.00	0.00	0.00	0.00	3600
589	12.60	4677	1689	1.02	1113	0	0	51	12	127	0.00	0.30	0.14	86.91	0.40	0.00	73.74	93	11809	92	100.64	99.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.13	13.09	0.00	0.00	0.00	0.00	3600
589	12.58	4681	1690	1.02	1095	0	0	30	7	121	0.00	0.11	0.07	87.25	0.22	0.00	73.96	91	11809	91	100.59	99.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.14	13.10	0.00	0.00	0.00	0.00	3600
589	12.63	4670	1689	1.02	1146	0	0	47	38	141	0.00	0.33	0.44	86.57	0.57	0.00	73.48	92	11809	92	100.90	99.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.15	13.10	0.00	0.00	0.00	0.00	3600
590	12.62	4672	1690	1.02	1119	0	0	43	17	145	0.00	0.20	0.20	86.98	0.40	0.00	73.67	92	11809	92	100.95	99.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.20	13.15	0.00	0.00	0.00	0.00	3600
589	12.61	4672	1690	1.02	1141	0	0	47	36	123	0.00	0.29	0.42	86.67	0.55	0.00	73.55	93	11809	93	100.80	99.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.22	13.16	0.00	0.00	0.00	0.00	3600
589	12.60	4675	1689	1.02	1130	0	0	39	35	115	0.00	0.20	0.41	86.75	0.38	0.00	73.73	93	11809	93	100.70	99.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.19	13.14	0.00	0.00	0.00	0.00	3600
589	12.59	4676	1690	1.02	1087	0	0	32	2	122	0.00	0.15	0.03	87.23	0.30	0.00	73.87	92	11809	92	100.64	99.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.19	13.14	0.00	0.00	0.00	0.00	3600
